,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
807,43,Nick Stevens,Colorado State,MWC,13,210,346,60.7,2678,7.7,7.4,21,12,138.8,45,36,0.8,3
808,44,Greyson Lambert,Georgia,SEC,12,162,256,63.3,1959,7.7,8.2,12,2,141.5,29,-39,-1.3,1
809,45,Tanner Mangum,Brigham Young,Ind,13,267,446,59.9,3377,7.6,7.6,23,10,136.0,62,-85,-1.4,2
810,46,Matt Linehan,Idaho,Sun Belt,11,246,390,63.1,2972,7.6,7.2,16,11,135.0,91,234,2.6,5
811,47,John Wolford,Wake Forest,ACC,11,142,235,60.4,1791,7.6,6.3,9,11,127.7,73,67,0.9,3
812,48,Josh Rosen,UCLA,Pac-12,13,292,487,60.0,3669,7.5,7.5,23,11,134.3,37,15,0.4,2
813,49,Tommy Armstrong Jr,Nebraska,Big Ten,12,222,402,55.2,3030,7.5,6.8,22,16,128.6,98,400,4.1,7
814,50,Phillip Ely,Toledo,MAC,12,226,403,56.1,2965,7.4,7.4,23,10,131.8,27,-4,-0.1,1
815,51,Driphus Jackson,Rice,CUSA,12,185,316,58.5,2348,7.4,7.6,18,7,135.3,108,167,1.5,3
816,52,Bryant Shirreffs,Connecticut,American,12,168,279,60.2,2078,7.4,6.8,9,8,127.7,154,503,3.3,3
817,53,Perry Orth,South Carolina,SEC,12,143,261,54.8,1929,7.4,6.8,12,9,125.1,53,138,2.6,2
818,54,Lamar Jackson,Louisville,ACC,12,135,247,54.7,1840,7.4,7.0,12,8,126.8,163,960,5.9,11
819,55,Justin Thomas,Georgia Tech,ACC,12,75,180,41.7,1339,7.4,6.9,13,8,119.1,144,485,3.4,6
820,56,Mike Bercovici,Arizona State,Pac-12,13,318,531,59.9,3854,7.3,7.6,30,9,136.1,109,84,0.8,6
821,57,Joel Stave,Wisconsin,Big Ten,13,225,370,60.8,2687,7.3,6.5,11,11,125.7,33,-123,-3.7,1
822,58,Nathan Peterman,Pitt,ACC,13,193,313,61.7,2287,7.3,7.4,20,8,139.0,85,232,2.7,1
823,59,Chris Laviano,Rutgers,Big Ten,12,187,307,60.9,2247,7.3,6.6,16,12,131.8,65,-38,-0.6,0
824,60,Kenny Potter,San Jose State,MWC,11,182,270,67.4,1984,7.3,7.3,15,7,142.3,114,415,3.6,7
825,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
826,61,Fredi Knighten,Arkansas State,Sun Belt,10,136,252,54.0,1835,7.3,7.2,19,9,132.9,138,400,2.9,5
827,62,Derrius Vick,Ohio,MAC,10,158,248,63.7,1807,7.3,7.0,10,6,133.4,93,177,1.9,1
828,63,Brandon Silvers,Troy,Sun Belt,11,201,329,61.1,2375,7.2,7.5,20,7,137.5,41,41,1.0,2
829,64,Tommy Woodson,Akron,MAC,12,162,307,52.8,2202,7.2,6.6,16,11,123.1,135,603,4.5,3
830,65,Luke Falk,Washington State,Pac-12,12,447,644,69.4,4561,7.1,7.7,38,8,145.9,82,-115,-1.4,3
831,66,Blake Kemp,East Carolina,American,11,260,375,69.3,2653,7.1,6.7,16,10,137.5,39,-8,-0.2,2
832,67,Treon Harris,Florida,SEC,11,119,235,50.6,1676,7.1,6.7,9,6,118.1,95,244,2.6,0
833,68,Matt Johns,Virginia,ACC,12,247,403,61.3,2810,7.0,6.1,20,17,127.8,61,86,1.4,1
834,69,Christian Hackenberg,Penn State,Big Ten,13,192,359,53.5,2525,7.0,7.2,16,6,123.9,66,-80,-1.2,2
835,70,Sefo Liufau,Colorado,Pac-12,11,213,344,61.9,2401,7.0,6.7,9,6,125.7,108,260,2.4,5
836,71,Cody Clements,South Alabama,Sun Belt,12,171,324,52.8,2272,7.0,5.7,13,15,115.7,84,95,1.1,3
837,72,Brooks Haack,Louisiana,Sun Belt,10,123,201,61.2,1407,7.0,5.9,5,7,121.2,46,83,1.8,2
838,73,P.J. Walker,Temple,American,14,245,432,56.7,2972,6.9,6.9,19,8,125.3,80,215,2.7,2
839,74,Chase Litton,Marshall,CUSA,11,231,384,60.2,2608,6.8,7.1,23,8,132.8,48,44,0.9,0
840,75,Jacoby Brissett,North Carolina State,ACC,13,237,395,60.0,2662,6.7,7.1,20,6,130.3,139,370,2.7,6
841,76,Joshua Dobbs,Tennessee,SEC,13,205,344,59.6,2291,6.7,6.9,15,5,127.0,146,671,4.6,11
842,77,Matt Davis,SMU,American,12,182,336,54.2,2259,6.7,6.7,16,7,122.2,187,761,4.1,10
843,78,Travis Wilson,Utah,Pac-12,12,195,314,62.1,2093,6.7,6.1,13,10,125.4,141,491,3.5,7
844,79,Joe Hubener,Kansas State,Big 12,13,131,275,47.6,1837,6.7,5.7,9,10,107.3,180,613,3.4,13
845,80,Joe Licata,Buffalo,MAC,12,280,449,62.4,2969,6.6,5.8,16,15,123.0,33,-60,-1.8,1
846,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
847,81,Mitch Leidner,Minnesota,Big Ten,13,242,407,59.5,2701,6.6,6.1,14,11,121.2,107,270,2.5,6
848,82,Tyler Jones,Texas State,Sun Belt,12,223,382,58.4,2517,6.6,6.1,14,10,120.6,139,593,4.3,10
