,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
116,7,Kaleb Eleby,Western Michigan,MAC,13,230,362,63.5,3277,9.1,9.6,23,6,157.2,87,64,0.7,6
117,8,K.J. Jefferson,Arkansas,SEC,13,198,294,67.3,2676,9.1,9.9,21,4,164.7,146,664,4.5,6
118,9,Caleb Williams,Oklahoma,Big 12,11,136,211,64.5,1912,9.1,10.2,21,4,169.6,79,442,5.6,6
119,10,Gavin Hardison,UTEP,CUSA,13,198,357,55.5,3218,9.0,8.4,18,13,140.5,46,-44,-1.0,0
120,11,Tyler Van Dyke,Miami (FL),ACC,10,202,324,62.3,2931,9.0,9.8,25,6,160.1,53,57,1.1,1
121,12,Skylar Thompson,Kansas State,Big 12,10,162,233,69.5,2103,9.0,9.3,12,4,158.9,48,4,0.1,4
122,13,Max Duggan,TCU,Big 12,10,145,227,63.9,2048,9.0,9.2,16,6,157.6,105,352,3.4,3
123,14,Bryce Young,Alabama,SEC,15,366,547,66.9,4872,8.9,10.0,47,7,167.5,81,0,0.0,3
124,15,Brennan Armstrong,Virginia,ACC,11,326,500,65.2,4449,8.9,9.2,31,10,156.4,98,251,2.6,9
125,16,Brett Gabbert,Miami (OH),MAC,10,178,299,59.5,2648,8.9,9.7,26,6,158.6,54,147,2.7,1
126,17,Sam Howell,North Carolina,ACC,12,217,347,62.5,3056,8.8,9.0,24,9,154.2,183,828,4.5,11
127,18,Bailey Zappe,Western Kentucky,CUSA,14,475,686,69.2,5967,8.7,9.8,62,11,168.9,51,17,0.3,3
128,19,Kenny Pickett,Pitt,ACC,13,334,497,67.2,4319,8.7,9.7,42,7,165.3,97,241,2.5,5
129,20,Matt Corral,Ole Miss,SEC,13,262,386,67.9,3349,8.7,9.1,20,5,155.3,152,614,4.0,11
130,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
131,21,Malik Cunningham,Louisville,ACC,13,209,337,62.0,2941,8.7,9.1,19,6,150.4,173,1031,6.0,20
132,22,Jaren Hall,Brigham Young,Ind,10,189,296,63.9,2583,8.7,9.3,20,5,156.1,62,307,5.0,3
133,23,Chase Brice,Appalachian State,Sun Belt,14,242,390,62.1,3337,8.6,8.7,27,11,151.1,71,149,2.1,3
134,24,Desmond Ridder,Cincinnati,American,14,251,387,64.9,3334,8.6,9.2,30,8,158.7,110,355,3.2,6
135,25,Max Bortenschlager,Florida International,CUSA,12,178,342,52.0,2935,8.6,8.1,19,12,135.5,50,-250,-5.0,1
136,26,Logan Bonner,Utah State,MWC,14,263,429,61.3,3628,8.5,8.9,36,12,154.4,69,66,1.0,0
137,27,Seth Henigan,Memphis,American,11,235,393,59.8,3322,8.5,8.8,25,8,147.7,80,147,1.8,0
138,28,Dorian Thompson-Robinson,UCLA,Pac-12,11,176,283,62.2,2409,8.5,9.0,21,6,153.9,130,609,4.7,9
139,29,Jake Haener,Fresno State,MWC,13,329,490,67.1,4096,8.4,8.9,33,9,155.9,71,5,0.1,3
140,30,Aidan O'Connell,Purdue,Big Ten,12,315,440,71.6,3712,8.4,8.6,28,11,158.5,25,-120,-4.8,1
141,31,Clayton Tune,Houston,American,14,287,420,68.3,3544,8.4,8.8,30,10,158.0,105,154,1.5,2
142,32,Dustin Crum,Kent State,MAC,14,244,381,64.0,3206,8.4,8.8,20,6,148.9,161,703,4.4,12
143,33,Malik Willis,Liberty,Ind,13,207,339,61.1,2857,8.4,8.4,27,12,151.1,197,878,4.5,13
144,34,Chance Nolan,Oregon State,Pac-12,13,204,318,64.2,2677,8.4,8.2,19,10,148.3,70,286,4.1,3
145,35,Sam Hartman,Wake Forest,ACC,14,299,508,58.9,4228,8.3,8.6,39,14,148.6,117,364,3.1,11
146,36,Payton Thorne,Michigan State,Big Ten,13,235,389,60.4,3232,8.3,8.5,27,10,148.0,82,181,2.2,4
147,37,Daniel Richardson,Central Michigan,MAC,13,191,316,60.4,2633,8.3,9.0,24,6,151.7,23,-38,-1.7,0
148,38,DeQuan Finn,Toledo,MAC,13,144,250,57.6,2067,8.3,9.3,18,2,149.2,112,502,4.5,9
149,39,Jack Coan,Notre Dame,Ind,13,253,386,65.5,3150,8.2,8.6,25,7,151.8,57,-100,-1.8,2
150,40,Jake Bentley,South Alabama,Sun Belt,10,212,303,70.0,2476,8.2,8.1,17,8,151.8,47,-8,-0.2,4
151,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
152,41,Tanner Morgan,Minnesota,Big Ten,13,149,250,59.6,2044,8.2,7.4,10,9,134.3,59,-9,-0.2,2
153,42,Taulia Tagovailoa,Maryland,Big Ten,13,328,474,69.2,3860,8.1,8.2,26,11,151.1,80,81,1.0,2
154,43,Casey Thompson,Texas,Big 12,12,165,261,63.2,2113,8.1,8.4,24,9,154.7,55,157,2.9,4
155,44,Carson Strong,Nevada,MWC,12,366,522,70.1,4175,8.0,8.7,36,8,157.0,51,-208,-4.1,0
156,45,Tanner Mordecai,SMU,American,12,308,454,67.8,3628,8.0,8.5,39,12,158.0,74,202,2.7,2
157,46,Grant Wells,Marshall,CUSA,13,295,444,66.4,3535,8.0,7.4,16,13,139.4,60,56,0.9,7
158,47,Devin Leary,North Carolina State,ACC,12,283,431,65.7,3433,8.0,9.1,35,5,157.0,54,-73,-1.4,2
159,48,Davis Brin,Tulsa,American,13,244,411,59.4,3269,8.0,7.1,18,16,132.8,68,75,1.1,1
160,49,Frank Harris,UTSA,CUSA,14,263,398,66.1,3177,8.0,8.7,27,6,152.5,109,566,5.2,6
161,50,Will Levis,Kentucky,SEC,13,233,353,66.0,2826,8.0,7.7,24,13,148.3,107,376,3.5,9
162,51,N'Kosi Perry,Florida Atlantic,CUSA,12,210,346,60.7,2771,8.0,8.3,20,7,143.0,106,154,1.5,4
163,52,Gerry Bohanon,Baylor,Big 12,12,173,275,62.9,2200,8.0,8.2,18,7,146.6,76,323,4.3,9
164,53,Chevan Cordeiro,Hawaii,MWC,11,195,353,55.2,2793,7.9,7.5,17,11,131.4,116,342,2.9,3
165,54,Emory Jones,Florida,SEC,13,224,346,64.7,2734,7.9,7.3,19,13,141.7,143,759,5.3,4
166,55,Chris Reynolds,Charlotte,CUSA,11,216,338,63.9,2680,7.9,8.3,26,9,150.6,86,164,1.9,4
167,56,Cade McNamara,Michigan,Big Ten,14,210,327,64.2,2576,7.9,8.0,15,6,141.9,37,26,0.7,1
168,57,Jayden Daniels,Arizona State,Pac-12,13,197,301,65.4,2381,7.9,7.1,10,10,136.2,138,710,5.1,6
169,58,Jordan Travis,Florida State,ACC,10,122,194,62.9,1539,7.9,8.1,15,6,148.9,134,530,4.0,7
170,59,Brock Purdy,Iowa State,Big 12,13,292,407,71.7,3188,7.8,7.9,19,8,149.0,85,238,2.8,1
171,60,Todd Centeio,Colorado State,MWC,12,229,380,60.3,2958,7.8,7.4,15,10,133.4,131,439,3.4,2
172,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
173,61,Jayden De Laura,Washington State,Pac-12,12,227,359,63.2,2798,7.8,7.9,23,9,144.8,46,67,1.5,3
174,62,Cameron Rising,Utah,Pac-12,13,204,320,63.8,2493,7.8,8.3,20,5,146.7,74,499,6.7,6
175,63,Hank Bachmeier,Boise State,MWC,12,252,401,62.8,3079,7.7,7.8,20,8,139.8,60,-20,-0.3,0
176,64,Anthony Brown,Oregon,Pac-12,14,250,390,64.1,2989,7.7,7.8,19,7,141.0,151,658,4.4,9
177,65,Braxton Burmeister,Virginia Tech,ACC,12,142,255,55.7,1960,7.7,8.1,14,4,135.2,117,521,4.5,2
178,66,Holton Ahlers,East Carolina,American,12,256,414,61.8,3126,7.6,7.3,18,10,134.8,116,204,1.8,6
179,67,Ben Bryant,Eastern Michigan,MAC,13,279,408,68.4,3121,7.6,7.6,14,7,140.5,87,-43,-0.5,2
180,68,Rocky Lombardi,Northern Illinois,MAC,13,200,343,58.3,2597,7.6,7.4,15,8,131.7,94,473,5.0,9
181,69,Hayden Wolff,Old Dominion,CUSA,10,159,253,62.8,1933,7.6,7.2,10,7,134.5,14,-92,-6.6,0
