,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
190,76,Brian Lewerke,Michigan State,Big Ten,13,260,436,59.6,3079,7.1,6.5,17,13,125.9,111,363,3.3,3
191,77,Tommy Devito,Syracuse,ACC,12,213,337,63.2,2360,7.0,7.5,19,5,137.7,112,122,1.1,2
192,78,Kellen Mond,Texas A&M,SEC,13,258,419,61.6,2897,6.9,6.9,20,9,131.1,126,501,4.0,8
193,79,Steven Montez,Colorado,Pac-12,12,255,405,63.0,2808,6.9,6.7,17,10,130.1,65,153,2.4,3
194,80,Dan Ellington,Georgia State,Sun Belt,13,227,355,63.9,2447,6.9,7.1,22,8,137.8,160,668,4.2,6
195,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
196,81,Brandon Peters,Illinois,Big Ten,11,152,275,55.3,1884,6.9,6.9,18,8,128.6,74,213,2.9,3
197,82,Jack Zergiotis,Connecticut,American,10,150,260,57.7,1782,6.9,5.6,9,11,118.2,41,-46,-1.1,0
198,83,Tyler Vitt,Texas State,Sun Belt,9,147,231,63.6,1590,6.9,5.1,11,14,125.0,56,119,2.1,0
199,84,Anthony Russo,Temple,American,13,246,419,58.7,2861,6.8,6.5,21,12,126.9,35,-64,-1.8,2
200,85,Kenyon Oblad,UNLV,MWC,11,167,308,54.2,2081,6.8,6.6,18,9,124.4,45,-43,-1.0,1
201,86,Bo Nix,Auburn,SEC,13,217,377,57.6,2542,6.7,6.9,16,6,125.0,97,313,3.2,7
202,87,Desmond Ridder,Cincinnati,American,13,179,325,55.1,2164,6.7,6.5,18,9,123.7,144,650,4.5,5
203,88,Kenny Pickett,Pitt,ACC,12,289,469,61.6,3098,6.6,6.3,13,9,122.4,95,110,1.2,2
204,89,Ryan Agnew,San Diego State,MWC,12,234,371,63.1,2462,6.6,6.7,14,6,128.0,72,116,1.6,1
205,90,Austin Kendall,West Virginia,Big 12,9,187,304,61.5,1989,6.5,5.9,12,10,122.9,45,91,2.0,1
206,91,Kato Nelson,Akron,MAC,10,151,280,53.9,1820,6.5,6.3,11,6,117.2,109,121,1.1,0
